"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"male","group D","associate's degree","free/reduced","completed","71","79","76"
"male","group B","some college","standard","none","82","80","74"
"male","group D","some high school","standard","none","69","60","57"
"female","group B","master's degree","free/reduced","none","70","88","79"
"female","group B","some college","standard","none","86","94","92"
"female","group C","associate's degree","free/reduced","none","65","74","65"
"male","group A","bachelor's degree","free/reduced","none","83","79","77"
"male","group B","some college","free/reduced","completed","62","62","60"
"female","group C","some high school","standard","none","58","67","58"
"female","group C","associate's degree","standard","none","84","89","93"
"female","group E","high school","standard","completed","98","99","97"
"female","group B","bachelor's degree","free/reduced","completed","72","93","96"
"male","group D","associate's degree","standard","completed","84","76","76"
"female","group C","associate's degree","standard","none","53","67","73"
"female","group C","some college","standard","none","75","90","83"
"female","group A","master's degree","standard","completed","86","93","93"
"female","group D","high school","standard","completed","81","76","90"
"female","group D","associate's degree","free/reduced","none","46","60","60"
"male","group D","some high school","standard","none","67","61","58"
"female","group D","some college","free/reduced","completed","71","83","82"
"male","group A","some high school","standard","completed","66","57","62"
"male","group D","bachelor's degree","standard","completed","82","71","79"
"male","group D","some college","standard","none","98","86","87"
"female","group C","associate's degree","standard","completed","79","79","87"
"female","group E","bachelor's degree","free/reduced","completed","81","100","100"
"female","group C","some college","standard","none","62","66","64"
"male","group A","high school","free/reduced","completed","83","81","79"
"female","group A","some high school","free/reduced","none","53","65","64"
"male","group E","some high school","free/reduced","none","69","64","55"
"male","group E","bachelor's degree","free/reduced","none","96","87","85"
"male","group B","some high school","free/reduced","completed","60","59","59"
"female","group D","some college","free/reduced","none","70","76","76"
"male","group D","bachelor's degree","standard","completed","86","88","93"
"female","group A","some college","standard","none","72","75","71"
"female","group D","some college","free/reduced","none","64","81","79"
"female","group C","high school","free/reduced","none","54","66","58"
"male","group C","associate's degree","free/reduced","none","61","62","51"
"male","group C","high school","free/reduced","none","59","60","55"
"male","group C","high school","standard","completed","55","56","57"
"female","group B","some high school","standard","none","56","63","62"
"female","group C","some high school","standard","none","49","67","63"
"female","group D","associate's degree","standard","none","71","85","79"
"male","group D","master's degree","standard","none","32","30","27"
"male","group E","some college","standard","none","80","74","72"
"female","group A","some high school","free/reduced","none","51","61","62"
"female","group B","some high school","standard","none","33","43","45"
"female","group C","some college","standard","none","50","55","59"
"female","group D","bachelor's degree","standard","none","77","85","83"
"male","group C","master's degree","free/reduced","none","54","53","42"
"male","group B","some college","standard","completed","96","92","92"
"male","group C","some college","standard","none","68","63","57"
"male","group D","some college","standard","none","81","79","76"
"male","group C","high school","standard","none","47","45","40"
"male","group B","high school","free/reduced","completed","82","78","75"
"female","group C","some college","standard","none","73","70","72"
"female","group C","some high school","free/reduced","completed","51","62","68"
"male","group C","associate's degree","standard","none","75","61","64"
"female","group D","master's degree","standard","none","79","67","76"
"female","group C","high school","free/reduced","completed","61","81","72"
"female","group B","bachelor's degree","free/reduced","none","57","69","63"
"female","group D","high school","standard","none","50","62","63"
"male","group A","some college","standard","none","60","47","52"
"male","group D","high school","standard","completed","65","72","77"
"male","group E","high school","free/reduced","completed","80","81","81"
"male","group C","master's degree","free/reduced","completed","76","81","76"
"female","group D","high school","standard","none","81","92","88"
"male","group C","bachelor's degree","standard","none","78","79","74"
"male","group C","high school","free/reduced","completed","57","57","61"
"female","group C","some college","free/reduced","completed","38","54","54"
"female","group D","high school","standard","none","75","78","74"
"male","group C","associate's degree","standard","none","75","71","68"
"male","group C","associate's degree","free/reduced","none","50","52","47"
"female","group C","bachelor's degree","standard","none","66","80","84"
"male","group C","associate's degree","free/reduced","none","68","58","56"
"female","group E","some college","standard","completed","65","77","79"
"female","group C","master's degree","standard","completed","94","100","100"
"male","group B","high school","free/reduced","none","63","63","56"
"female","group D","some college","free/reduced","none","55","63","62"
"female","group C","some college","free/reduced","none","37","53","44"
"female","group A","associate's degree","free/reduced","none","57","62","64"
"male","group C","bachelor's degree","standard","completed","97","92","94"
"male","group D","master's degree","free/reduced","completed","72","68","73"
"male","group D","some college","standard","none","89","88","87"
"male","group B","high school","free/reduced","none","63","67","56"
"male","group C","some high school","standard","completed","54","57","52"
"female","group D","high school","free/reduced","none","70","83","78"
"female","group C","associate's degree","free/reduced","completed","69","84","88"
"male","group D","master's degree","standard","none","81","73","74"
"male","group D","some high school","standard","none","61","63","51"
"male","group C","high school","standard","none","59","56","52"
"male","group D","master's degree","standard","none","84","66","63"
"female","group D","high school","free/reduced","none","71","76","77"
"female","group B","some college","standard","none","69","85","89"
"female","group B","some college","standard","none","61","71","71"
"male","group B","high school","standard","none","64","62","65"
"male","group D","high school","standard","none","71","67","64"
"male","group D","some college","standard","completed","73","71","69"
"female","group C","bachelor's degree","standard","none","71","87","86"
"female","group D","high school","standard","none","90","94","95"
"male","group E","high school","standard","none","96","87","88"
"male","group E","some high school","free/reduced","completed","71","63","61"
"female","group D","associate's degree","standard","completed","90","99","100"
"male","group B","associate's degree","standard","none","66","51","49"
"male","group C","associate's degree","free/reduced","none","61","64","60"
"male","group D","some high school","free/reduced","completed","88","82","78"
"male","group B","associate's degree","standard","none","68","64","58"
"male","group C","bachelor's degree","standard","none","85","60","71"
"male","group C","high school","free/reduced","none","47","47","47"
"male","group D","associate's degree","free/reduced","completed","75","66","70"
"female","group D","some high school","standard","none","57","61","58"
"female","group D","high school","standard","completed","81","88","94"
"female","group E","high school","free/reduced","none","64","65","63"
"male","group D","some high school","standard","completed","67","63","66"
"female","group D","some high school","standard","none","74","77","80"
"female","group D","high school","standard","completed","77","82","88"
"male","group D","some high school","free/reduced","none","64","70","59"
"female","group B","bachelor's degree","standard","none","60","80","74"
"male","group C","bachelor's degree","standard","none","79","70","71"
"female","group D","high school","standard","none","56","74","73"
"male","group B","associate's degree","free/reduced","none","52","62","52"
"male","group C","some college","standard","none","77","80","76"
"female","group C","some high school","standard","completed","55","68","66"
"female","group C","high school","standard","none","35","39","38"
"male","group E","bachelor's degree","standard","none","86","78","78"
"male","group C","some college","free/reduced","completed","76","75","72"
"male","group D","high school","free/reduced","none","59","50","56"
"female","group D","high school","standard","none","75","82","86"
"male","group C","some high school","standard","none","55","41","41"
"female","group D","some high school","standard","none","69","70","72"
"male","group D","some college","standard","none","64","52","47"
"male","group E","some high school","free/reduced","completed","54","58","55"
"male","group C","some college","standard","none","59","60","56"
"female","group D","associate's degree","free/reduced","completed","55","56","65"
"female","group B","bachelor's degree","standard","none","50","50","51"
"female","group E","associate's degree","standard","completed","59","63","65"
"male","group E","some high school","free/reduced","none","70","59","50"
"male","group B","some college","standard","none","68","67","57"
"female","group A","associate's degree","free/reduced","none","54","68","61"
"male","group D","some college","free/reduced","none","45","37","39"
"female","group C","some college","standard","none","62","68","69"
"female","group B","high school","free/reduced","none","48","68","60"
"female","group A","high school","standard","completed","57","74","70"
"female","group E","high school","standard","completed","86","88","92"
"male","group E","high school","standard","none","88","84","79"
"female","group D","some college","standard","none","64","74","75"
"male","group E","bachelor's degree","free/reduced","none","57","61","56"
"male","group D","associate's degree","standard","completed","73","78","79"
"female","group C","some high school","free/reduced","none","56","66","66"
"female","group B","bachelor's degree","free/reduced","none","64","69","73"
"female","group A","some college","standard","none","63","71","74"
"female","group E","some high school","free/reduced","none","73","86","75"
"male","group B","associate's degree","standard","none","77","78","64"
"female","group C","master's degree","free/reduced","completed","65","76","80"
"female","group C","master's degree","free/reduced","none","42","65","64"
"female","group A","some college","standard","none","63","57","60"
"female","group B","some college","free/reduced","none","49","69","60"
"female","group D","high school","standard","none","60","72","68"
"female","group C","some high school","standard","none","67","79","68"
"female","group C","some college","free/reduced","completed","58","64","64"
"male","group B","master's degree","free/reduced","none","61","68","67"
"male","group E","associate's degree","standard","completed","64","58","61"
"female","group B","bachelor's degree","standard","completed","97","100","100"
"female","group D","bachelor's degree","standard","completed","82","100","100"
"male","group B","some college","standard","completed","61","63","56"
"female","group D","some college","free/reduced","none","73","75","73"
"female","group B","master's degree","standard","completed","96","94","100"
"male","group C","some college","standard","none","66","73","69"
"female","group D","associate's degree","free/reduced","none","63","74","77"
"female","group E","master's degree","free/reduced","none","65","70","69"
"female","group C","high school","free/reduced","none","44","63","56"
"female","group D","associate's degree","standard","none","51","66","68"
"male","group C","some college","standard","completed","83","82","83"
"female","group C","associate's degree","free/reduced","none","63","70","66"
"female","group A","master's degree","standard","none","90","96","96"
"female","group D","some high school","standard","none","67","79","79"
"male","group D","some college","free/reduced","none","48","44","45"
"female","group D","high school","standard","none","66","81","84"
"male","group D","some high school","standard","completed","80","81","84"
"male","group C","associate's degree","standard","none","85","76","77"
"female","group C","associate's degree","standard","completed","81","94","91"
"female","group D","some high school","standard","none","60","55","67"
"female","group C","master's degree","standard","none","65","70","79"
"male","group C","associate's degree","standard","none","60","50","52"
"female","group C","bachelor's degree","free/reduced","none","31","41","47"
"male","group C","some college","free/reduced","completed","55","62","68"
"male","group D","high school","free/reduced","none","55","65","59"
"female","group C","some college","standard","completed","66","82","83"
"male","group D","some college","standard","completed","88","87","91"
"female","group B","associate's degree","free/reduced","none","45","49","48"
"female","group E","some high school","free/reduced","completed","53","54","56"
"male","group A","some college","standard","none","69","65","68"
"female","group D","high school","standard","completed","85","97","87"
"female","group C","some college","standard","completed","76","83","89"
"male","group E","high school","standard","completed","77","77","75"
"male","group C","some high school","standard","completed","52","63","63"
"male","group E","associate's degree","standard","none","94","91","82"
"male","group D","master's degree","standard","completed","94","82","91"
"male","group C","some college","standard","completed","100","91","89"
"male","group E","some college","standard","completed","74","72","73"
"male","group E","some college","standard","none","84","83","78"
"female","group E","associate's degree","standard","none","87","97","94"
"male","group C","associate's degree","free/reduced","none","50","45","38"
"female","group D","some college","standard","none","43","48","58"
"male","group D","some high school","standard","none","48","39","36"
"male","group D","high school","standard","none","89","87","83"
"female","group C","high school","standard","none","44","43","47"
"male","group D","bachelor's degree","standard","none","54","40","46"
"male","group D","high school","standard","none","91","72","71"
"male","group C","associate's degree","free/reduced","completed","65","64","60"
"male","group D","associate's degree","free/reduced","none","69","58","58"
"male","group D","associate's degree","standard","none","74","64","64"
"male","group E","some college","standard","none","63","60","54"
"female","group C","some college","free/reduced","none","55","65","68"
"female","group C","bachelor's degree","standard","completed","79","97","96"
"male","group B","high school","standard","none","54","51","55"
"male","group D","associate's degree","standard","none","76","67","72"
"male","group B","associate's degree","free/reduced","none","22","18","19"
"female","group D","some high school","standard","none","58","70","64"
"male","group B","some college","standard","none","50","54","46"
"male","group D","master's degree","free/reduced","none","62","59","64"
"male","group A","bachelor's degree","free/reduced","none","76","76","73"
"male","group B","high school","standard","none","76","72","67"
"male","group B","some high school","standard","none","72","59","67"
"male","group C","some high school","standard","none","80","77","67"
"female","group C","some high school","standard","completed","75","87","93"
"female","group A","associate's degree","free/reduced","none","51","66","65"
"female","group D","associate's degree","standard","completed","90","98","100"
"female","group D","some college","standard","none","54","59","59"
"male","group C","some college","standard","completed","81","75","70"
"female","group C","high school","standard","none","61","65","61"
"female","group E","some high school","standard","none","97","100","99"
"male","group C","some college","free/reduced","none","59","68","59"
"male","group C","master's degree","standard","completed","99","98","97"
"male","group E","some high school","standard","none","65","60","54"
"male","group C","some high school","standard","none","73","62","55"
"female","group C","some college","standard","none","70","82","73"
"male","group B","master's degree","standard","completed","72","70","72"
"male","group D","some high school","free/reduced","completed","43","47","47"
"female","group C","some high school","standard","completed","52","79","75"
"female","group E","bachelor's degree","standard","none","84","79","78"
"female","group C","high school","standard","completed","63","61","64"
"male","group C","some high school","standard","none","70","78","73"
"female","group B","high school","standard","completed","79","81","81"
"male","group B","some college","standard","completed","61","57","59"
"male","group B","some college","standard","completed","83","84","82"
"male","group D","some college","standard","none","72","72","71"
"female","group E","associate's degree","standard","none","71","69","77"
"female","group D","master's degree","free/reduced","completed","83","92","97"
"male","group A","some college","standard","none","73","68","67"
"male","group E","some college","standard","none","75","71","55"
"male","group E","associate's degree","standard","none","73","71","60"
"male","group A","high school","free/reduced","completed","60","49","53"
"female","group D","bachelor's degree","standard","none","59","68","73"
"male","group A","associate's degree","standard","completed","77","76","72"
"female","group D","some high school","free/reduced","none","65","78","75"
"male","group B","high school","free/reduced","none","54","51","51"
"male","group B","associate's degree","free/reduced","none","35","27","30"
"male","group C","high school","standard","none","69","62","58"
"male","group B","some college","free/reduced","none","54","48","45"
"male","group C","some college","standard","none","85","82","74"
"male","group A","high school","standard","none","57","54","50"
"male","group B","associate's degree","standard","none","77","74","68"
"female","group B","associate's degree","free/reduced","none","48","63","61"
"female","group D","some high school","standard","none","60","83","80"
"female","group C","high school","free/reduced","none","55","64","60"
"female","group E","some high school","free/reduced","none","76","86","78"
"male","group C","bachelor's degree","standard","none","70","70","67"
"male","group B","bachelor's degree","free/reduced","none","56","58","58"
"male","group C","high school","standard","none","92","88","78"
"female","group B","master's degree","standard","completed","69","67","83"
"male","group B","associate's degree","standard","none","77","67","72"
"male","group C","some college","standard","none","55","55","45"
"female","group D","associate's degree","standard","none","70","77","80"
"male","group D","some college","standard","completed","99","98","100"
"male","group C","bachelor's degree","free/reduced","completed","82","76","78"
"male","group A","high school","free/reduced","none","64","60","57"
"male","group B","high school","standard","none","64","56","52"
"female","group B","associate's degree","standard","none","68","79","78"
"male","group D","bachelor's degree","standard","none","62","60","58"
"male","group E","associate's degree","standard","completed","86","72","77"
"female","group A","associate's degree","free/reduced","none","37","50","50"
"male","group A","bachelor's degree","standard","none","65","62","57"
"female","group D","bachelor's degree","standard","none","65","76","77"
"female","group C","some college","free/reduced","completed","40","53","57"
"male","group C","some high school","free/reduced","none","35","39","38"
"female","group C","master's degree","standard","completed","71","92","93"
"male","group C","associate's degree","standard","none","47","38","33"
"female","group C","some high school","standard","none","59","68","61"
"male","group C","bachelor's degree","standard","none","50","54","49"
"male","group B","high school","standard","none","55","43","41"
"female","group E","associate's degree","free/reduced","completed","75","82","85"
"male","group B","master's degree","free/reduced","completed","76","71","70"
"female","group A","high school","standard","completed","50","69","66"
"male","group A","some college","standard","none","51","51","50"
"female","group B","associate's degree","standard","none","77","81","83"
"female","group C","high school","free/reduced","none","32","41","40"
"male","group D","high school","free/reduced","none","35","35","29"
"female","group B","some college","standard","none","56","71","74"
"female","group B","some college","free/reduced","completed","55","66","67"
"female","group D","high school","free/reduced","completed","69","79","78"
"male","group B","some college","standard","completed","82","75","80"
"male","group C","bachelor's degree","standard","none","44","45","41"
"male","group B","associate's degree","standard","none","70","60","58"
"male","group C","some college","standard","none","77","64","65"
"female","group C","high school","standard","none","69","87","80"
"male","group D","high school","standard","completed","85","73","77"
"male","group C","some high school","free/reduced","completed","56","64","56"
"male","group C","high school","free/reduced","completed","66","54","56"
"female","group B","some college","free/reduced","completed","67","79","82"
"male","group C","some college","standard","none","66","53","50"
"female","group E","bachelor's degree","standard","none","95","98","95"
"male","group C","master's degree","free/reduced","none","61","46","43"
"female","group C","high school","standard","completed","88","94","94"
"male","group D","associate's degree","standard","completed","81","73","76"
"female","group C","associate's degree","standard","none","64","73","70"
"male","group D","high school","standard","completed","74","79","77"
"male","group D","associate's degree","standard","none","82","69","71"
"male","group C","high school","standard","none","72","63","67"
"male","group D","master's degree","standard","none","93","88","86"
"female","group D","high school","standard","none","79","95","80"
"female","group D","associate's degree","free/reduced","completed","85","86","98"
"female","group B","master's degree","free/reduced","completed","55","63","64"
"male","group C","bachelor's degree","standard","completed","69","68","74"
"female","group E","high school","free/reduced","completed","59","64","64"
"male","group C","associate's degree","free/reduced","completed","55","68","64"
"female","group D","master's degree","standard","completed","90","90","95"
"female","group C","some college","free/reduced","none","34","42","39"
"female","group C","associate's degree","standard","none","55","65","67"
"female","group C","high school","free/reduced","completed","61","72","73"
"male","group B","some high school","standard","completed","73","86","85"
"male","group E","high school","standard","none","88","77","77"
"male","group D","some high school","free/reduced","completed","59","58","59"
"male","group B","master's degree","standard","completed","98","100","100"
"female","group E","associate's degree","free/reduced","completed","85","91","95"
"male","group C","high school","standard","completed","86","85","80"
"male","group D","some college","standard","completed","83","85","85"
"male","group C","high school","standard","none","84","83","75"
"male","group C","bachelor's degree","standard","completed","78","80","78"
"female","group C","some high school","standard","none","77","88","83"
"male","group C","some high school","standard","none","78","78","77"
"female","group B","associate's degree","standard","none","50","67","64"
"female","group D","associate's degree","standard","completed","61","84","94"
"male","group C","high school","standard","completed","88","97","89"
"male","group E","some college","standard","none","48","34","33"
"male","group B","master's degree","standard","completed","79","71","74"
"male","group D","high school","free/reduced","none","68","66","64"
"female","group D","some college","standard","completed","49","62","61"
"female","group C","bachelor's degree","standard","none","79","83","88"
"male","group C","some college","free/reduced","completed","62","61","61"
"male","group C","some high school","free/reduced","none","55","50","54"
"female","group E","high school","standard","completed","85","100","99"
"female","group E","high school","standard","none","59","62","60"
"male","group D","bachelor's degree","free/reduced","completed","49","47","56"
"male","group D","bachelor's degree","standard","completed","83","79","85"
"female","group D","some high school","free/reduced","none","54","68","63"
"female","group C","some college","free/reduced","none","46","68","59"
"female","group B","some high school","free/reduced","none","23","34","29"
"female","group C","some college","free/reduced","none","57","64","60"
"female","group D","high school","standard","completed","62","59","68"
"female","group B","associate's degree","standard","completed","97","100","100"
"male","group B","some college","standard","completed","74","70","65"
"female","group D","some high school","free/reduced","completed","61","77","77"
"female","group C","associate's degree","standard","completed","59","72","74"
"male","group C","bachelor's degree","standard","none","85","88","83"
"female","group B","high school","free/reduced","none","55","64","55"
"male","group C","high school","standard","none","54","52","44"
"female","group C","some college","standard","none","64","70","68"
"female","group E","some college","standard","completed","78","77","77"
"male","group C","some college","free/reduced","completed","36","45","39"
"male","group C","some high school","free/reduced","none","66","65","65"
"female","group E","bachelor's degree","free/reduced","completed","60","66","63"
"male","group C","associate's degree","standard","none","84","86","72"
"female","group C","some college","standard","none","36","47","54"
"female","group E","high school","standard","none","80","80","85"
"female","group C","some college","free/reduced","none","72","77","78"
"female","group B","some college","standard","completed","49","63","61"
"male","group B","associate's degree","free/reduced","completed","53","51","50"
"female","group B","high school","standard","none","76","83","81"
"female","group C","some college","standard","none","77","87","87"
"male","group B","master's degree","free/reduced","completed","94","98","94"
"male","group C","some college","standard","none","79","72","67"
"male","group C","bachelor's degree","free/reduced","completed","74","79","77"
"male","group E","associate's degree","standard","none","96","81","73"
"male","group A","associate's degree","free/reduced","completed","56","50","54"
"male","group E","associate's degree","standard","none","92","77","73"
"male","group A","some college","standard","completed","65","57","56"
"female","group B","high school","free/reduced","none","58","71","63"
"male","group B","high school","standard","completed","63","56","53"
"female","group D","associate's degree","free/reduced","none","70","83","85"
"male","group B","bachelor's degree","standard","completed","99","92","87"
"male","group D","some high school","free/reduced","none","77","60","66"
"male","group E","bachelor's degree","standard","completed","91","84","86"
"female","group E","some college","free/reduced","none","59","66","58"
"female","group A","associate's degree","free/reduced","none","49","54","57"
"male","group E","some college","standard","completed","72","73","66"
"male","group A","associate's degree","standard","none","89","82","79"
"male","group C","high school","free/reduced","none","58","51","50"
"male","group B","associate's degree","free/reduced","none","53","53","45"
"male","group C","bachelor's degree","standard","none","81","81","79"
"female","group E","some college","free/reduced","none","54","60","57"
"male","group B","high school","free/reduced","none","41","45","42"
"male","group A","some college","standard","none","76","69","70"
"male","group E","associate's degree","standard","completed","100","90","88"
"male","group B","some high school","standard","none","65","62","52"
"female","group E","bachelor's degree","standard","completed","95","93","99"
"male","group C","master's degree","free/reduced","completed","73","71","77"
"female","group B","high school","standard","none","73","79","83"
"female","group C","some college","standard","none","66","70","66"
"male","group E","some high school","standard","none","75","64","61"
"female","group C","some college","free/reduced","none","58","58","60"
"male","group C","high school","standard","completed","81","78","74"
"female","group B","some college","standard","none","76","75","69"
"female","group B","associate's degree","free/reduced","none","67","85","82"
"male","group B","high school","standard","completed","65","58","59"
"female","group C","some college","free/reduced","completed","74","89","86"
"female","group C","some college","free/reduced","completed","57","74","69"
"male","group C","master's degree","standard","none","63","53","51"
"male","group A","some high school","standard","none","61","59","55"
"female","group E","some college","standard","none","65","60","60"
"female","group E","associate's degree","free/reduced","none","77","89","82"
"male","group B","high school","standard","none","92","78","79"
"male","group E","bachelor's degree","standard","none","69","46","46"
"female","group B","some high school","standard","completed","42","57","56"
"female","group B","some high school","standard","completed","46","55","60"
"female","group C","high school","standard","none","75","75","73"
"female","group C","some college","standard","none","75","85","84"
"male","group D","some college","free/reduced","completed","87","87","87"
"male","group E","high school","standard","none","71","70","62"
"female","group E","associate's degree","standard","none","100","95","90"
"male","group A","associate's degree","free/reduced","completed","69","70","67"
"female","group E","high school","standard","completed","42","48","57"
"female","group D","some high school","standard","none","82","80","77"
"male","group B","high school","standard","none","77","75","68"
"male","group B","some college","standard","completed","64","51","47"
"female","group B","some college","standard","none","69","68","65"
"male","group D","some college","standard","completed","81","84","85"
"male","group C","high school","standard","none","55","53","41"
"male","group B","some high school","standard","none","38","25","27"
"female","group A","master's degree","free/reduced","completed","47","63","63"
"female","group C","bachelor's degree","free/reduced","completed","45","57","62"
"male","group B","high school","standard","none","67","61","63"
"male","group D","some college","standard","none","64","67","70"
"male","group C","some high school","standard","none","67","60","52"
"female","group D","some college","standard","none","66","61","67"
"female","group B","some high school","free/reduced","none","51","56","59"
"male","group B","some college","standard","none","62","55","56"
"male","group B","some college","free/reduced","completed","75","75","66"
"male","group B","high school","free/reduced","none","42","42","31"
"female","group D","bachelor's degree","standard","completed","92","88","95"
"male","group B","some college","standard","none","66","56","54"
"female","group B","high school","standard","completed","75","88","84"
"male","group B","bachelor's degree","free/reduced","completed","71","85","82"
"male","group E","master's degree","standard","none","80","79","77"
"male","group A","some college","standard","none","76","61","60"
"male","group C","master's degree","standard","completed","62","62","58"
"male","group E","high school","free/reduced","none","88","78","76"
"female","group E","associate's degree","standard","completed","82","86","86"
"male","group E","bachelor's degree","standard","completed","99","94","97"
"male","group C","some college","standard","none","47","48","38"
"male","group B","some high school","standard","completed","72","74","77"
"female","group E","some college","standard","none","81","92","88"
"female","group C","some high school","standard","none","38","50","42"
"female","group E","associate's degree","free/reduced","completed","77","89","91"
"female","group D","associate's degree","free/reduced","none","47","56","54"
"male","group C","high school","free/reduced","none","41","50","47"
"male","group E","some college","standard","none","99","97","89"
"female","group C","associate's degree","standard","none","84","84","86"
"male","group C","some high school","standard","none","60","56","53"
"male","group D","high school","free/reduced","none","66","65","58"
"male","group C","high school","standard","none","68","64","62"
"male","group E","some college","standard","none","58","47","50"
"female","group B","associate's degree","standard","completed","45","59","58"
"male","group C","some college","standard","none","68","56","53"
"male","group D","associate's degree","free/reduced","none","56","44","45"
"male","group A","associate's degree","free/reduced","none","54","61","61"
"female","group C","associate's degree","free/reduced","none","29","39","38"
"male","group C","high school","standard","none","54","55","56"
"female","group D","master's degree","standard","completed","73","85","82"
"female","group D","bachelor's degree","standard","completed","71","76","81"
"male","group A","bachelor's degree","free/reduced","completed","62","60","67"
"female","group D","some high school","standard","none","59","62","62"
"male","group A","high school","standard","none","64","60","54"
"male","group C","some college","standard","completed","94","89","93"
"male","group B","some high school","free/reduced","completed","47","51","46"
"male","group D","some college","free/reduced","completed","62","55","62"
"female","group D","associate's degree","free/reduced","none","38","59","58"
"male","group C","some college","free/reduced","none","77","71","64"
"female","group B","some college","standard","completed","71","79","83"
"female","group D","some college","standard","completed","87","93","94"
"female","group D","some high school","standard","none","68","75","78"
"male","group C","master's degree","standard","completed","74","68","73"
"female","group E","high school","standard","none","72","71","72"
"male","group B","associate's degree","standard","none","77","72","61"
"male","group E","some high school","free/reduced","none","77","72","73"
"male","group C","some high school","free/reduced","none","25","22","22"
"female","group C","associate's degree","standard","completed","72","81","86"
"male","group E","some college","standard","none","64","62","62"
"female","group D","some high school","standard","none","70","76","76"
"female","group D","bachelor's degree","free/reduced","none","46","50","55"
"female","group B","associate's degree","standard","none","70","83","82"
"male","group D","some high school","free/reduced","none","35","42","35"
"male","group C","some college","standard","none","75","65","59"
"male","group B","some college","standard","none","88","85","81"
"female","group B","some high school","free/reduced","completed","47","65","58"
"female","group E","some college","free/reduced","completed","57","64","67"
"male","group C","some high school","standard","none","68","65","52"
"male","group D","associate's degree","free/reduced","none","61","54","49"
"female","group C","some college","free/reduced","completed","63","80","85"
"female","group D","some high school","free/reduced","none","49","72","62"
"male","group C","some college","standard","completed","70","64","64"
"male","group E","some high school","standard","none","80","73","67"
"female","group C","bachelor's degree","standard","completed","66","83","84"
"male","group C","some high school","standard","none","58","53","54"
"male","group B","some college","standard","completed","89","96","94"
"female","group D","bachelor's degree","standard","completed","74","76","86"
"male","group D","high school","free/reduced","none","52","43","40"
"female","group E","some high school","standard","completed","61","63","69"
"female","group B","some college","standard","none","68","68","69"
"female","group B","high school","standard","none","53","55","56"
"male","group C","associate's degree","free/reduced","completed","58","55","48"
"female","group B","high school","standard","none","83","83","86"
"female","group D","some college","standard","none","66","67","70"
"female","group B","some college","standard","none","67","66","68"
"female","group E","bachelor's degree","free/reduced","none","66","75","73"
"female","group C","associate's degree","standard","none","52","58","59"
"female","group D","master's degree","standard","none","70","83","86"
"male","group C","some high school","free/reduced","none","57","64","52"
