"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"male","group E","bachelor's degree","standard","none","79","74","80"
"male","group D","high school","standard","none","57","51","42"
"male","group D","some college","free/reduced","none","62","54","51"
"male","group C","associate's degree","free/reduced","none","72","60","53"
"female","group D","high school","standard","completed","59","57","64"
"male","group D","high school","standard","none","78","69","67"
"female","group C","some high school","standard","none","57","62","63"
"female","group C","high school","free/reduced","none","50","71","62"
"female","group D","some high school","free/reduced","none","68","76","75"
"female","group D","master's degree","free/reduced","none","67","61","71"
"male","group D","associate's degree","standard","none","67","60","58"
"male","group B","high school","standard","none","76","72","67"
"male","group C","associate's degree","free/reduced","completed","65","62","58"
"male","group C","some high school","free/reduced","completed","54","50","46"
"male","group D","high school","free/reduced","none","62","67","60"
"male","group C","some college","standard","completed","60","47","62"
"female","group B","some high school","standard","none","71","84","82"
"female","group E","associate's degree","standard","completed","72","72","77"
"female","group C","high school","standard","none","68","76","71"
"female","group C","high school","free/reduced","none","66","67","63"
"female","group E","some high school","standard","none","84","92","85"
"male","group D","some high school","standard","none","59","52","41"
"male","group D","master's degree","free/reduced","none","56","48","48"
"female","group A","some high school","standard","none","80","86","81"
"male","group C","some high school","free/reduced","completed","69","73","70"
"male","group A","some high school","free/reduced","completed","59","56","56"
"female","group E","associate's degree","free/reduced","none","44","51","43"
"female","group B","high school","standard","none","32","36","37"
"male","group E","associate's degree","free/reduced","none","61","58","52"
"male","group C","high school","standard","none","84","83","84"
"female","group C","master's degree","standard","none","74","82","83"
"male","group A","some high school","free/reduced","completed","68","59","65"
"male","group A","associate's degree","free/reduced","none","46","47","46"
"female","group A","bachelor's degree","free/reduced","none","40","43","54"
"male","group C","associate's degree","free/reduced","completed","65","66","68"
"male","group E","high school","standard","none","82","75","70"
"male","group B","bachelor's degree","free/reduced","none","75","75","72"
"male","group B","some high school","standard","none","65","59","49"
"male","group E","associate's degree","free/reduced","completed","76","72","70"
"female","group D","bachelor's degree","standard","completed","76","79","83"
"female","group D","associate's degree","standard","none","42","52","51"
"female","group D","some high school","free/reduced","none","71","67","76"
"male","group D","some high school","standard","none","81","69","72"
"female","group C","some college","free/reduced","completed","51","59","62"
"male","group D","some high school","standard","completed","50","49","49"
"male","group E","associate's degree","standard","completed","100","100","100"
"female","group D","high school","standard","none","67","76","77"
"male","group B","master's degree","free/reduced","completed","81","89","85"
"male","group B","associate's degree","standard","completed","89","86","85"
"female","group D","some high school","standard","none","51","54","50"
"female","group E","some high school","free/reduced","completed","48","61","63"
"male","group C","high school","free/reduced","completed","69","78","82"
"female","group B","high school","free/reduced","none","58","74","64"
"male","group D","associate's degree","free/reduced","completed","55","64","59"
"female","group D","bachelor's degree","free/reduced","none","59","62","73"
"male","group B","some college","free/reduced","none","52","57","46"
"female","group D","high school","standard","none","64","70","73"
"male","group B","some high school","standard","none","56","50","47"
"female","group D","some high school","standard","completed","64","75","72"
"female","group B","master's degree","standard","none","62","75","69"
"male","group A","associate's degree","standard","none","69","70","65"
"male","group B","associate's degree","standard","none","62","55","48"
"female","group C","bachelor's degree","free/reduced","none","49","66","72"
"male","group C","bachelor's degree","standard","none","68","69","66"
"female","group C","high school","free/reduced","none","67","75","73"
"female","group B","bachelor's degree","free/reduced","completed","68","83","90"
"male","group D","some high school","standard","none","71","60","58"
"female","group C","some high school","standard","none","50","71","66"
"female","group C","some high school","free/reduced","none","44","47","49"
"female","group A","high school","free/reduced","none","40","45","42"
"male","group C","high school","standard","none","53","60","50"
"female","group D","some high school","free/reduced","completed","56","63","62"
"male","group A","some college","free/reduced","none","80","77","74"
"male","group A","high school","free/reduced","completed","57","66","61"
"male","group A","master's degree","standard","none","65","69","68"
"male","group B","master's degree","standard","none","63","61","55"
"male","group B","master's degree","free/reduced","completed","53","45","53"
"female","group D","high school","standard","none","59","63","56"
"female","group C","some college","free/reduced","none","43","49","48"
"female","group C","some college","standard","none","75","82","74"
"male","group B","bachelor's degree","standard","none","82","75","70"
"male","group A","some high school","free/reduced","completed","74","78","76"
"female","group C","master's degree","standard","completed","73","83","90"
"female","group D","associate's degree","standard","none","66","70","71"
"male","group D","some college","free/reduced","none","69","66","55"
"female","group C","some high school","free/reduced","none","44","58","62"
"female","group D","some high school","standard","none","62","72","77"
"male","group C","some college","free/reduced","none","48","47","41"
"female","group C","some college","free/reduced","completed","43","59","62"
"female","group E","bachelor's degree","standard","none","64","71","74"
"female","group B","master's degree","standard","none","76","80","78"
"male","group E","some college","free/reduced","none","76","74","63"
"female","group C","some college","free/reduced","completed","67","74","80"
"male","group C","some college","standard","completed","74","70","66"
"female","group D","some college","standard","completed","72","79","82"
"male","group B","some college","free/reduced","none","60","69","61"
"female","group C","associate's degree","standard","completed","83","99","99"
"male","group B","associate's degree","free/reduced","completed","59","71","63"
"female","group B","master's degree","standard","none","94","100","100"
"male","group C","some high school","standard","none","75","58","60"
"female","group C","associate's degree","standard","completed","56","64","65"
"female","group B","associate's degree","standard","none","51","65","61"
"male","group D","high school","free/reduced","none","67","63","56"
"female","group E","some college","standard","none","65","76","73"
"male","group C","associate's degree","standard","none","63","59","57"
"female","group D","some college","standard","none","74","78","79"
"male","group C","some high school","standard","none","81","76","73"
"female","group D","high school","standard","none","81","95","87"
"female","group D","associate's degree","standard","completed","78","91","91"
"female","group B","high school","free/reduced","none","66","90","81"
"male","group C","some high school","free/reduced","none","49","32","32"
"male","group D","high school","free/reduced","none","38","42","32"
"female","group C","some high school","standard","none","46","59","64"
"female","group C","bachelor's degree","standard","completed","67","64","68"
"female","group D","bachelor's degree","standard","none","84","87","80"
"male","group B","some high school","standard","none","65","65","67"
"female","group B","some college","free/reduced","none","71","83","82"
"female","group C","some college","standard","none","60","71","74"
"male","group B","high school","standard","none","65","64","55"
"female","group D","associate's degree","standard","none","75","75","81"
"female","group C","some high school","standard","completed","73","79","74"
"male","group A","associate's degree","standard","completed","73","73","65"
"female","group D","bachelor's degree","free/reduced","completed","75","85","93"
"male","group B","associate's degree","standard","none","56","58","53"
"male","group C","associate's degree","standard","completed","60","69","66"
"male","group A","high school","standard","none","40","36","32"
"male","group E","associate's degree","standard","completed","51","52","48"
"male","group E","some college","standard","completed","100","100","95"
"female","group B","bachelor's degree","standard","none","80","93","87"
"female","group C","master's degree","standard","completed","92","100","100"
"female","group E","some college","standard","none","76","84","78"
"female","group B","master's degree","free/reduced","none","80","79","84"
"female","group C","associate's degree","free/reduced","none","31","47","42"
"male","group E","associate's degree","free/reduced","none","54","57","52"
"female","group E","high school","free/reduced","completed","87","94","90"
"male","group E","associate's degree","standard","completed","91","83","84"
"female","group B","high school","standard","none","58","63","62"
"female","group A","some college","standard","none","95","99","94"
"female","group C","some college","standard","none","21","24","29"
"male","group C","associate's degree","free/reduced","none","46","43","38"
"male","group E","high school","standard","none","85","77","75"
"female","group D","associate's degree","standard","none","79","97","94"
"female","group E","bachelor's degree","standard","completed","99","100","100"
"male","group C","bachelor's degree","standard","none","59","61","58"
"male","group C","some college","standard","none","76","76","67"
"male","group D","some high school","standard","none","52","45","36"
"male","group E","associate's degree","free/reduced","none","56","56","54"
"female","group A","some college","free/reduced","none","67","83","87"
"female","group C","associate's degree","standard","none","91","90","98"
"male","group D","bachelor's degree","free/reduced","none","59","58","55"
"female","group B","master's degree","standard","none","74","82","81"
"female","group A","associate's degree","standard","none","68","82","71"
"female","group D","associate's degree","free/reduced","none","77","93","92"
"female","group C","associate's degree","free/reduced","none","61","62","63"
"female","group A","some high school","free/reduced","none","32","55","47"
"male","group D","some high school","standard","none","62","67","61"
"male","group C","some high school","standard","none","41","29","27"
"male","group D","high school","standard","none","60","60","61"
"male","group A","some college","standard","none","41","41","36"
"male","group B","some high school","standard","none","49","44","43"
"female","group B","high school","free/reduced","none","43","54","53"
"female","group D","high school","standard","completed","62","72","79"
"male","group C","some high school","standard","completed","99","92","90"
"male","group C","some college","free/reduced","none","46","48","44"
"female","group C","associate's degree","free/reduced","none","62","77","79"
"male","group D","master's degree","standard","completed","84","75","80"
"male","group E","associate's degree","free/reduced","none","48","46","41"
"female","group C","some college","standard","completed","73","75","84"
"male","group B","some high school","free/reduced","none","73","77","69"
"female","group C","some college","standard","none","58","67","69"
"male","group C","associate's degree","standard","none","80","75","76"
"male","group B","some high school","standard","none","49","40","38"
"female","group B","master's degree","standard","completed","72","81","83"
"female","group D","some high school","free/reduced","none","54","61","60"
"male","group B","high school","standard","none","69","66","58"
"male","group E","master's degree","free/reduced","none","75","63","64"
"male","group B","high school","free/reduced","completed","38","45","38"
"male","group C","high school","standard","completed","70","69","67"
"male","group E","high school","standard","none","71","55","50"
"female","group C","some high school","free/reduced","none","30","44","39"
"male","group C","bachelor's degree","standard","none","56","52","50"
"male","group C","high school","standard","completed","74","67","67"
"male","group D","bachelor's degree","standard","none","67","65","70"
"male","group B","some college","standard","none","55","51","47"
"female","group D","some high school","free/reduced","none","44","49","54"
"female","group D","master's degree","standard","completed","91","90","95"
"female","group D","bachelor's degree","free/reduced","none","69","84","83"
"male","group C","high school","free/reduced","completed","77","78","72"
"female","group C","some college","free/reduced","none","51","63","59"
"female","group D","some college","free/reduced","none","49","62","67"
"male","group A","master's degree","standard","none","75","73","70"
"male","group C","bachelor's degree","standard","none","77","70","74"
"female","group B","some college","standard","completed","89","100","100"
"female","group E","high school","free/reduced","none","76","76","70"
"female","group D","associate's degree","standard","none","55","60","61"
"female","group C","some high school","standard","completed","80","92","92"
"male","group C","some high school","standard","none","73","78","72"
"male","group B","associate's degree","free/reduced","none","44","44","44"
"male","group B","some college","standard","none","73","68","65"
"male","group C","bachelor's degree","free/reduced","none","62","67","67"
"male","group C","associate's degree","standard","completed","56","50","61"
"male","group C","associate's degree","standard","none","70","64","67"
"male","group B","high school","free/reduced","none","57","53","52"
"female","group E","some high school","standard","none","75","80","82"
"male","group B","high school","free/reduced","none","63","61","56"
"female","group C","some college","free/reduced","completed","74","94","95"
"female","group C","master's degree","standard","completed","84","100","100"
"male","group A","bachelor's degree","standard","completed","79","80","79"
"male","group D","some high school","free/reduced","none","63","53","56"
"female","group C","associate's degree","standard","none","47","51","51"
"male","group E","bachelor's degree","standard","none","78","74","70"
"female","group C","bachelor's degree","free/reduced","none","66","77","82"
"male","group E","high school","free/reduced","completed","41","50","46"
"female","group B","some high school","free/reduced","none","47","51","46"
"female","group C","high school","free/reduced","completed","36","46","42"
"male","group C","master's degree","free/reduced","completed","50","56","53"
"female","group D","some high school","standard","none","71","65","68"
"female","group D","high school","standard","none","63","72","70"
"male","group B","bachelor's degree","standard","completed","100","98","97"
"male","group D","some high school","standard","none","88","74","76"
"male","group D","master's degree","free/reduced","none","76","70","68"
"male","group D","high school","standard","completed","98","91","93"
"female","group D","master's degree","standard","completed","54","50","63"
"male","group A","some college","standard","none","75","71","67"
"female","group D","bachelor's degree","free/reduced","none","56","67","69"
"female","group C","associate's degree","standard","completed","55","75","75"
"male","group E","associate's degree","free/reduced","completed","68","66","67"
"female","group D","high school","free/reduced","none","61","67","64"
"female","group B","some high school","standard","none","48","41","38"
"female","group A","associate's degree","standard","completed","55","60","72"
"male","group C","some college","free/reduced","none","40","29","33"
"female","group A","high school","standard","none","66","81","73"
"female","group C","some college","free/reduced","none","46","51","51"
"female","group A","associate's degree","standard","completed","74","80","84"
"male","group C","bachelor's degree","standard","none","80","79","71"
"female","group A","some high school","standard","completed","57","58","61"
"female","group E","some high school","standard","completed","91","98","95"
"male","group D","high school","standard","none","73","66","58"
"male","group B","high school","standard","none","70","71","64"
"female","group C","high school","standard","none","53","53","57"
"male","group E","associate's degree","standard","none","67","55","55"
"female","group C","associate's degree","standard","none","53","72","70"
"male","group C","bachelor's degree","free/reduced","completed","71","80","77"
"female","group C","associate's degree","standard","none","71","72","72"
"female","group E","high school","standard","completed","61","81","77"
"male","group C","high school","free/reduced","none","61","61","57"
"female","group D","some high school","standard","none","55","62","65"
"male","group E","associate's degree","standard","none","86","78","77"
"male","group D","associate's degree","standard","none","94","87","88"
"female","group B","associate's degree","free/reduced","none","72","83","88"
"female","group E","some college","standard","completed","73","85","85"
"male","group C","master's degree","standard","none","100","87","85"
"female","group C","high school","standard","none","60","75","63"
"male","group C","associate's degree","standard","none","70","60","59"
"male","group D","some high school","standard","none","88","84","77"
"female","group D","bachelor's degree","standard","none","81","89","86"
"female","group B","bachelor's degree","free/reduced","completed","39","52","56"
"male","group C","some college","standard","completed","63","64","62"
"female","group C","high school","free/reduced","none","63","78","66"
"female","group C","some high school","standard","completed","72","82","84"
"female","group D","associate's degree","free/reduced","completed","45","55","52"
"female","group C","associate's degree","free/reduced","none","57","67","66"
"male","group D","some high school","free/reduced","none","34","38","37"
"male","group D","bachelor's degree","standard","completed","97","100","96"
"female","group D","high school","free/reduced","completed","53","69","72"
"female","group C","some high school","standard","none","82","79","78"
"male","group C","high school","free/reduced","none","37","46","38"
"female","group A","some high school","free/reduced","none","50","61","60"
"female","group A","some college","standard","completed","77","95","92"
"male","group C","some college","standard","none","53","47","45"
"female","group C","some high school","standard","completed","52","62","55"
"female","group D","bachelor's degree","free/reduced","none","55","58","61"
"male","group D","associate's degree","standard","none","67","74","68"
"male","group A","some high school","standard","completed","85","80","82"
"female","group C","high school","standard","none","86","85","90"
"male","group A","some high school","standard","none","60","52","50"
"male","group B","high school","standard","none","68","56","54"
"male","group D","high school","standard","none","84","80","76"
"female","group C","high school","standard","completed","64","78","75"
"female","group D","high school","standard","none","60","74","76"
"male","group C","high school","free/reduced","none","44","38","40"
"male","group D","some high school","free/reduced","completed","47","44","50"
"female","group D","master's degree","standard","completed","88","91","100"
"female","group B","some college","standard","none","71","79","80"
"male","group D","some high school","standard","none","78","63","66"
"female","group A","master's degree","free/reduced","completed","69","81","84"
"female","group B","some high school","free/reduced","completed","42","61","56"
"male","group D","some college","standard","completed","77","80","81"
"female","group A","associate's degree","standard","completed","89","90","98"
"male","group C","some high school","standard","none","87","83","77"
"male","group B","high school","standard","none","61","58","54"
"male","group D","some college","standard","completed","81","80","83"
"male","group D","bachelor's degree","standard","none","85","81","84"
"male","group E","some college","standard","completed","60","53","54"
"male","group C","some college","standard","none","87","81","78"
"female","group C","some college","standard","none","61","69","67"
"male","group D","associate's degree","standard","none","63","69","66"
"female","group C","master's degree","free/reduced","none","54","59","62"
"male","group B","some high school","standard","completed","86","96","93"
"female","group D","high school","standard","completed","56","58","65"
"female","group C","some high school","free/reduced","none","50","66","62"
"male","group D","master's degree","free/reduced","completed","74","68","76"
"female","group D","master's degree","standard","completed","66","87","91"
"female","group C","high school","standard","none","84","98","92"
"female","group B","some college","standard","none","82","98","99"
"male","group D","some college","free/reduced","completed","62","52","56"
"male","group D","some high school","standard","none","71","71","68"
"male","group B","some college","standard","completed","74","77","75"
"female","group D","bachelor's degree","standard","completed","73","82","86"
"male","group D","associate's degree","standard","completed","70","70","64"
"male","group A","high school","free/reduced","completed","63","70","73"
"female","group B","some college","free/reduced","none","59","64","69"
"male","group C","some college","standard","none","49","47","43"
"male","group C","associate's degree","free/reduced","none","60","52","46"
"female","group C","master's degree","standard","none","84","92","91"
"female","group C","some high school","standard","completed","63","73","78"
"male","group E","master's degree","standard","none","85","70","71"
"male","group C","some high school","standard","completed","43","36","40"
"male","group C","some high school","standard","completed","83","78","77"
"female","group B","some college","standard","none","87","94","89"
"female","group A","some high school","standard","none","41","54","45"
"female","group C","associate's degree","standard","none","55","55","58"
"male","group C","some college","free/reduced","none","56","64","61"
"male","group D","high school","free/reduced","none","47","42","38"
"female","group C","some high school","free/reduced","completed","43","56","50"
"female","group E","high school","standard","none","73","86","77"
"female","group C","high school","standard","none","61","74","70"
"female","group B","some college","standard","completed","81","95","86"
"female","group D","bachelor's degree","standard","none","85","94","96"
"male","group D","some college","free/reduced","none","45","51","49"
"female","group C","some college","free/reduced","completed","47","58","63"
"female","group E","some college","standard","none","80","80","79"
"male","group E","some college","free/reduced","none","66","61","61"
"male","group C","some high school","free/reduced","none","61","63","55"
"female","group C","some college","standard","none","84","84","82"
"male","group C","high school","free/reduced","completed","72","79","82"
"male","group C","master's degree","standard","none","76","68","70"
"male","group D","high school","standard","none","61","65","56"
"male","group C","master's degree","free/reduced","none","64","65","58"
"female","group D","bachelor's degree","standard","completed","80","93","100"
"female","group C","some college","standard","none","42","59","57"
"female","group C","some college","free/reduced","completed","73","85","90"
"male","group D","associate's degree","free/reduced","none","58","53","56"
"male","group A","associate's degree","standard","none","62","68","59"
"female","group B","bachelor's degree","standard","none","61","72","77"
"male","group C","some college","free/reduced","none","73","63","62"
"female","group D","some high school","free/reduced","none","47","67","67"
"female","group D","high school","standard","none","50","64","65"
"female","group B","high school","free/reduced","none","41","55","54"
"male","group C","high school","standard","none","74","67","68"
"female","group C","high school","standard","none","56","67","62"
"female","group D","associate's degree","standard","none","74","73","77"
"male","group E","some college","standard","none","51","45","42"
"female","group D","some college","standard","none","75","82","79"
"male","group A","bachelor's degree","standard","completed","80","73","72"
"female","group E","high school","free/reduced","none","50","54","55"
"female","group E","associate's degree","free/reduced","none","73","75","72"
"female","group C","some college","free/reduced","completed","54","73","74"
"male","group D","associate's degree","free/reduced","none","43","52","46"
"male","group C","some high school","standard","completed","80","69","69"
"male","group B","associate's degree","standard","none","84","81","80"
"male","group E","bachelor's degree","free/reduced","none","64","64","51"
"male","group C","some high school","free/reduced","none","43","46","45"
"female","group D","master's degree","standard","completed","72","77","80"
"female","group D","some high school","standard","completed","71","82","81"
"male","group D","high school","standard","completed","63","64","68"
"female","group B","some college","free/reduced","none","61","76","70"
"female","group B","high school","standard","none","81","81","79"
"female","group B","associate's degree","free/reduced","none","73","91","80"
"female","group A","bachelor's degree","standard","none","84","87","89"
"female","group B","some high school","standard","none","58","67","64"
"female","group D","some college","standard","none","94","97","94"
"male","group B","high school","standard","none","64","68","66"
"female","group B","some college","standard","completed","60","73","72"
"female","group C","some college","free/reduced","completed","70","75","78"
"female","group D","some high school","free/reduced","completed","52","62","73"
"female","group D","high school","standard","none","68","73","72"
"male","group C","some college","free/reduced","none","25","20","12"
"female","group D","some college","free/reduced","none","33","40","46"
"male","group D","associate's degree","standard","none","81","81","79"
"female","group C","associate's degree","free/reduced","none","63","73","75"
"female","group E","some college","free/reduced","none","73","79","77"
"female","group B","bachelor's degree","standard","none","66","69","68"
"male","group C","high school","standard","none","57","45","42"
"male","group C","some high school","free/reduced","none","72","76","69"
"female","group C","some college","free/reduced","none","64","83","81"
"male","group A","master's degree","free/reduced","none","67","72","70"
"female","group D","some high school","standard","none","61","73","67"
"male","group D","some college","free/reduced","none","55","56","55"
"male","group C","some high school","standard","none","54","55","54"
"male","group A","associate's degree","standard","none","76","71","68"
"male","group D","associate's degree","standard","none","53","37","40"
"female","group D","associate's degree","standard","none","80","83","84"
"female","group C","high school","free/reduced","completed","49","63","69"
"male","group E","some college","standard","none","69","55","57"
"female","group D","some high school","standard","none","58","66","66"
"male","group C","some high school","free/reduced","none","51","59","47"
"female","group B","some college","free/reduced","completed","79","93","97"
"female","group D","master's degree","standard","none","66","82","84"
"male","group C","high school","free/reduced","completed","83","85","79"
"male","group B","some college","standard","none","81","74","65"
"male","group E","master's degree","standard","completed","81","64","68"
"male","group C","high school","standard","none","80","79","71"
"male","group D","some high school","standard","completed","95","98","95"
"female","group C","high school","standard","completed","65","69","69"
"female","group C","some high school","free/reduced","none","42","54","52"
"female","group B","some college","standard","none","71","96","91"
"male","group D","associate's degree","standard","none","79","62","63"
"male","group C","high school","standard","completed","65","67","55"
"male","group D","associate's degree","free/reduced","none","52","44","48"
"male","group D","associate's degree","standard","none","66","63","67"
"male","group D","bachelor's degree","free/reduced","none","43","42","42"
"male","group C","high school","free/reduced","completed","65","65","57"
"male","group C","some college","standard","completed","73","66","74"
"male","group D","associate's degree","standard","completed","87","84","83"
"male","group A","associate's degree","free/reduced","completed","49","52","54"
"female","group D","some high school","free/reduced","none","38","55","54"
"female","group D","some high school","standard","none","59","69","70"
"male","group C","high school","free/reduced","none","47","51","48"
"female","group A","some college","standard","none","49","54","54"
"male","group D","associate's degree","standard","none","81","75","70"
"male","group E","some college","free/reduced","none","64","67","61"
"male","group E","some college","free/reduced","none","66","63","62"
"male","group D","bachelor's degree","standard","none","63","62","62"
"male","group E","high school","standard","none","89","72","77"
"male","group C","bachelor's degree","free/reduced","completed","84","94","92"
"male","group C","high school","standard","none","74","63","67"
"male","group C","high school","standard","none","77","68","69"
"female","group C","associate's degree","standard","completed","84","98","100"
"female","group B","some college","standard","none","61","68","70"
"female","group E","associate's degree","free/reduced","none","75","80","82"
"female","group B","associate's degree","standard","completed","96","100","100"
"female","group D","high school","free/reduced","completed","54","76","73"
"male","group C","associate's degree","standard","none","68","70","56"
"female","group E","associate's degree","standard","none","69","73","73"
"female","group D","some college","standard","none","78","76","75"
"male","group A","some college","free/reduced","completed","52","54","58"
"male","group A","some high school","standard","none","55","52","47"
"male","group D","associate's degree","standard","none","69","66","64"
"male","group D","master's degree","free/reduced","completed","52","62","61"
"male","group A","associate's degree","standard","none","77","82","80"
"female","group C","some college","standard","completed","84","96","95"
"female","group C","high school","standard","none","38","49","50"
"female","group D","some college","standard","none","69","75","81"
"male","group C","high school","standard","none","43","32","31"
"male","group A","master's degree","free/reduced","none","94","84","86"
"female","group C","associate's degree","free/reduced","none","52","64","55"
"female","group E","high school","free/reduced","completed","62","70","72"
"female","group D","some college","free/reduced","none","73","75","78"
"female","group B","some college","standard","completed","45","59","61"
"male","group C","some high school","standard","none","51","50","46"
"male","group D","some high school","standard","none","64","59","55"
"male","group C","high school","free/reduced","completed","73","70","76"
"male","group E","high school","free/reduced","none","86","69","76"
"female","group C","high school","standard","none","65","78","75"
"female","group C","some high school","standard","none","68","71","70"
"male","group B","associate's degree","standard","none","51","53","40"
"male","group B","some high school","free/reduced","none","51","56","49"
"male","group D","some college","standard","completed","82","81","86"
"male","group D","master's degree","free/reduced","completed","75","72","75"
"male","group B","high school","standard","completed","64","61","61"
"male","group B","some high school","standard","none","43","49","44"
"male","group C","bachelor's degree","free/reduced","completed","81","80","81"
"male","group C","some college","free/reduced","completed","57","67","64"
"male","group D","master's degree","standard","none","90","82","85"
"female","group C","some college","standard","none","43","56","56"
"female","group C","master's degree","standard","completed","51","73","68"
"female","group C","associate's degree","standard","none","69","82","73"
"male","group D","master's degree","standard","none","82","73","76"
"male","group D","some college","standard","completed","53","61","53"
"male","group E","some high school","free/reduced","completed","80","74","74"
"male","group E","bachelor's degree","free/reduced","none","64","58","53"
"female","group B","some high school","free/reduced","none","19","38","41"
"male","group C","associate's degree","standard","none","63","55","56"
"male","group B","high school","standard","none","85","75","64"
"male","group C","high school","standard","completed","66","68","63"
"female","group B","master's degree","standard","none","71","78","74"
"male","group D","some high school","standard","none","55","64","61"
"female","group B","some college","standard","none","80","89","85"
"female","group D","high school","standard","none","74","86","86"
"female","group A","some college","standard","none","58","69","66"
"female","group D","some college","standard","completed","72","83","86"
"male","group B","associate's degree","standard","none","92","88","87"
"female","group C","some college","standard","none","80","86","83"
"male","group C","high school","free/reduced","none","59","65","61"
"male","group C","some college","standard","none","56","61","56"
"female","group C","bachelor's degree","standard","none","76","77","73"
"female","group C","associate's degree","free/reduced","completed","31","48","47"
"male","group B","some high school","standard","none","58","53","49"
"male","group B","bachelor's degree","standard","none","70","68","62"
"male","group D","some college","standard","none","72","59","54"
"female","group C","high school","free/reduced","none","30","40","35"
"female","group C","high school","standard","none","66","70","66"
"female","group D","associate's degree","standard","none","70","66","75"
"female","group B","some high school","standard","none","68","70","68"
"male","group D","high school","standard","none","75","74","65"
"female","group C","some college","free/reduced","none","42","50","46"
"female","group C","some high school","standard","none","47","64","59"
"female","group C","some college","standard","completed","70","73","75"
"female","group A","some college","free/reduced","completed","71","74","81"
"female","group A","some college","standard","none","66","85","82"
"female","group C","associate's degree","standard","completed","72","83","84"
"female","group C","high school","standard","none","57","66","67"
"female","group B","high school","standard","none","60","69","64"
"female","group E","master's degree","standard","completed","95","94","90"
"female","group C","some high school","standard","completed","55","54","58"
"male","group C","some college","standard","none","51","57","51"
"female","group B","some college","standard","completed","69","67","66"
"male","group C","master's degree","free/reduced","completed","55","51","59"
"male","group C","high school","standard","completed","53","52","51"
"female","group A","some college","standard","none","49","46","45"
"male","group B","master's degree","standard","completed","77","58","64"
"male","group D","some high school","standard","none","75","66","65"
"female","group C","some high school","standard","none","78","78","82"
"female","group C","some college","free/reduced","none","49","63","55"
"female","group C","associate's degree","free/reduced","none","71","86","86"
"male","group D","associate's degree","free/reduced","none","60","57","53"
"female","group B","associate's degree","standard","none","71","72","67"
"male","group C","some high school","free/reduced","none","47","48","48"
"female","group B","some college","standard","completed","50","59","63"
"male","group C","some college","standard","none","73","71","71"
"male","group C","associate's degree","free/reduced","completed","84","96","89"
"male","group B","some college","standard","completed","76","81","84"
"female","group D","high school","free/reduced","completed","66","73","78"
"female","group A","some college","free/reduced","completed","70","86","86"
"male","group C","some college","standard","none","79","79","74"
"male","group C","high school","free/reduced","none","51","57","44"
"male","group D","some high school","free/reduced","completed","46","49","51"
"male","group B","some college","standard","completed","92","84","83"
"male","group E","master's degree","standard","completed","100","91","95"
"male","group D","associate's degree","free/reduced","completed","70","72","78"
"female","group C","associate's degree","standard","completed","55","69","70"
"female","group D","master's degree","free/reduced","none","57","69","64"
"male","group C","associate's degree","free/reduced","completed","85","74","81"
"male","group C","master's degree","free/reduced","completed","73","75","69"
"female","group E","some high school","standard","completed","98","100","100"
"male","group B","some high school","standard","none","60","65","58"
"female","group D","some college","free/reduced","completed","70","84","90"
"male","group B","some college","standard","completed","94","81","80"
"female","group B","high school","standard","none","57","61","67"
