,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
208,female,group B,some college,free/reduced,0,74,81,76
209,female,group B,some college,free/reduced,0,58,61,66
210,male,group D,some high school,free/reduced,1,80,79,79
211,male,group C,some college,free/reduced,0,35,28,27
212,female,group C,high school,free/reduced,0,42,62,60
213,male,group C,associate's degree,free/reduced,1,60,51,56
214,male,group E,high school,standard,1,87,91,81
215,male,group B,some high school,standard,1,84,83,75
216,female,group E,associate's degree,free/reduced,1,83,86,88
217,female,group C,high school,free/reduced,0,34,42,39
218,male,group B,high school,free/reduced,0,66,77,70
219,male,group B,some high school,standard,1,61,56,56
220,female,group D,high school,standard,1,56,68,74
221,male,group B,associate's degree,standard,0,87,85,73
222,female,group C,some high school,free/reduced,0,55,65,62
223,male,group D,some high school,standard,0,86,80,75
224,female,group B,associate's degree,standard,1,52,66,73
225,female,group E,master's degree,free/reduced,0,45,56,54
226,female,group C,some college,standard,0,72,72,71
227,male,group D,high school,standard,0,57,50,54
228,male,group A,some high school,free/reduced,0,68,72,64
229,female,group C,some college,standard,1,88,95,94
230,male,group D,some college,standard,0,76,64,66
231,male,group C,associate's degree,standard,0,46,43,42
232,female,group B,bachelor's degree,standard,0,67,86,83
233,male,group E,some high school,standard,0,92,87,78
234,male,group C,bachelor's degree,standard,1,83,82,84
235,male,group D,associate's degree,standard,0,80,75,77
236,male,group D,bachelor's degree,free/reduced,0,63,66,67
237,female,group D,some high school,standard,1,64,60,74
238,male,group B,some college,standard,0,54,52,51
239,male,group C,associate's degree,standard,0,84,80,80
240,male,group D,high school,free/reduced,1,73,68,66
241,female,group E,bachelor's degree,standard,0,80,83,83
242,female,group D,high school,standard,0,56,52,55
243,male,group E,some college,standard,0,59,51,43
244,male,group D,some high school,standard,0,75,74,69
245,male,group C,associate's degree,standard,0,85,76,71
246,male,group E,associate's degree,standard,0,89,76,74
247,female,group B,high school,standard,1,58,70,68
248,female,group B,high school,standard,0,65,64,62
249,male,group C,high school,standard,0,68,60,53
250,male,group A,some high school,standard,1,47,49,49
251,female,group D,some college,free/reduced,0,71,83,83
252,female,group B,some high school,standard,1,60,70,70
253,male,group D,master's degree,standard,0,80,80,72
254,male,group D,high school,standard,0,54,52,52
255,female,group E,some college,standard,0,62,73,70
256,female,group C,associate's degree,free/reduced,0,64,73,68
257,male,group C,associate's degree,standard,1,78,77,77
258,female,group B,some college,standard,0,70,75,78
259,female,group C,master's degree,free/reduced,1,65,81,81
260,female,group C,some high school,free/reduced,1,64,79,77
261,male,group C,some college,standard,1,79,79,78
262,female,group C,some high school,free/reduced,0,44,50,51
263,female,group E,high school,standard,0,99,93,90
264,male,group D,high school,standard,0,76,73,68
265,male,group D,some high school,free/reduced,0,59,42,41
266,female,group C,bachelor's degree,standard,0,63,75,81
267,female,group D,high school,standard,0,69,72,77
268,female,group D,associate's degree,standard,1,88,92,95
269,female,group E,some college,free/reduced,0,71,76,70
270,male,group C,bachelor's degree,standard,0,69,63,61
271,male,group C,some college,standard,0,58,49,42
272,female,group D,associate's degree,free/reduced,0,47,53,58
273,female,group D,some college,standard,0,65,70,71
274,male,group B,some college,standard,1,88,85,76
275,male,group C,bachelor's degree,standard,0,83,78,73
276,female,group C,some high school,standard,1,85,92,93
277,female,group E,high school,standard,1,59,63,75
278,female,group C,some high school,free/reduced,0,65,86,80
279,male,group B,bachelor's degree,free/reduced,0,73,56,57
280,male,group D,high school,standard,0,53,52,42
281,male,group D,high school,standard,0,45,48,46
282,female,group D,bachelor's degree,free/reduced,0,73,79,84
283,female,group D,some college,free/reduced,1,70,78,78
284,female,group B,some high school,standard,0,37,46,46
285,male,group B,associate's degree,standard,1,81,82,82
286,male,group E,associate's degree,standard,1,97,82,88
287,female,group B,some high school,standard,0,67,89,82
288,male,group B,bachelor's degree,free/reduced,0,88,75,76
289,male,group E,some high school,standard,1,77,76,77
290,male,group C,associate's degree,standard,0,76,70,68
291,male,group D,some high school,standard,0,86,73,70
292,male,group C,some high school,standard,1,63,60,57
293,female,group E,bachelor's degree,standard,0,65,73,75
294,male,group D,high school,free/reduced,1,78,77,80
295,male,group B,associate's degree,free/reduced,0,67,62,60
296,male,group A,some high school,standard,1,46,41,43
297,male,group E,associate's degree,standard,1,71,74,68
298,male,group C,high school,free/reduced,1,40,46,50
299,male,group D,associate's degree,free/reduced,0,90,87,75
300,male,group A,some college,free/reduced,1,81,78,81
301,male,group D,some high school,free/reduced,0,56,54,52
302,female,group C,associate's degree,standard,1,67,84,81
303,male,group B,associate's degree,standard,0,80,76,64
304,female,group C,associate's degree,standard,1,74,75,83
305,male,group A,some college,standard,0,69,67,69
306,male,group E,some college,standard,1,99,87,81
307,male,group C,some high school,standard,0,51,52,44
308,female,group B,associate's degree,free/reduced,0,53,71,67
309,female,group D,high school,free/reduced,0,49,57,52
310,female,group B,associate's degree,standard,0,73,76,80
311,male,group B,bachelor's degree,standard,0,66,60,57
312,male,group D,bachelor's degree,standard,1,67,61,68
313,female,group C,associate's degree,free/reduced,1,68,67,69
314,female,group C,bachelor's degree,standard,1,59,64,75
315,male,group C,high school,standard,0,71,66,65
316,female,group D,master's degree,standard,1,77,82,91
317,male,group C,associate's degree,standard,0,83,72,78
318,male,group B,bachelor's degree,standard,0,63,71,69
319,female,group D,associate's degree,free/reduced,0,56,65,63
320,female,group C,high school,free/reduced,1,67,79,84
321,female,group E,high school,standard,0,75,86,79
322,female,group C,some college,standard,0,71,81,80
323,female,group C,some high school,free/reduced,0,43,53,53
324,female,group C,high school,free/reduced,0,41,46,43
325,female,group C,some college,standard,0,82,90,94
326,male,group C,some college,standard,0,61,61,62
327,male,group A,some college,free/reduced,0,28,23,19
328,male,group C,associate's degree,standard,1,82,75,77
329,female,group B,some high school,standard,0,41,55,51
330,male,group C,high school,standard,0,71,60,61
331,male,group C,associate's degree,standard,0,47,37,35
332,male,group E,associate's degree,standard,1,62,56,53
333,male,group B,associate's degree,standard,0,90,78,81
334,female,group C,bachelor's degree,standard,0,83,93,95
335,female,group B,some college,free/reduced,0,61,68,66
336,male,group D,some high school,standard,1,76,70,69
337,male,group C,associate's degree,standard,0,49,51,43
338,female,group B,some high school,free/reduced,0,24,38,27
339,female,group D,some high school,free/reduced,1,35,55,60
340,male,group C,high school,free/reduced,0,58,61,52
341,female,group C,high school,standard,0,61,73,63
342,female,group B,high school,standard,1,69,76,74
343,male,group D,associate's degree,standard,1,67,72,67
344,male,group D,some college,standard,0,79,73,67
345,female,group C,high school,standard,0,72,80,75
346,male,group B,some college,standard,0,62,61,57
347,female,group C,bachelor's degree,standard,1,77,94,95
348,male,group D,high school,free/reduced,0,75,74,66
349,male,group E,associate's degree,standard,0,87,74,76
350,female,group B,bachelor's degree,standard,0,52,65,69
351,male,group E,some college,standard,0,66,57,52
352,female,group C,some college,standard,1,63,78,80
353,female,group C,associate's degree,standard,0,46,58,57
354,female,group C,some college,standard,0,59,71,70
355,female,group B,bachelor's degree,standard,0,61,72,70
356,male,group A,associate's degree,standard,0,63,61,61
357,female,group C,some college,free/reduced,1,42,66,69
358,male,group D,some college,free/reduced,0,59,62,61
359,female,group D,some college,standard,0,80,90,89
360,female,group B,high school,standard,0,58,62,59
361,male,group B,some high school,standard,1,85,84,78
362,female,group C,some college,standard,0,52,58,58
363,female,group D,some high school,free/reduced,0,27,34,32
364,male,group C,some college,standard,0,59,60,58
365,male,group A,bachelor's degree,free/reduced,1,49,58,60
366,male,group C,high school,standard,1,69,58,53
367,male,group C,bachelor's degree,free/reduced,0,61,66,61
368,female,group A,some high school,free/reduced,0,44,64,58
369,female,group D,some high school,standard,0,73,84,85
370,male,group E,some college,standard,0,84,77,71
371,female,group C,some college,free/reduced,1,45,73,70
372,male,group D,some high school,standard,0,74,74,72
373,female,group D,some college,standard,1,82,97,96
374,female,group D,bachelor's degree,standard,0,59,70,73
375,male,group E,associate's degree,free/reduced,0,46,43,41
376,female,group D,some high school,standard,0,80,90,82
377,female,group D,master's degree,free/reduced,1,85,95,100
378,female,group A,some high school,standard,0,71,83,77
379,male,group A,bachelor's degree,standard,0,66,64,62
380,female,group B,associate's degree,standard,0,80,86,83
381,male,group C,associate's degree,standard,1,87,100,95
382,male,group C,master's degree,free/reduced,0,79,81,71
383,female,group E,some high school,free/reduced,0,38,49,45
384,female,group A,some high school,free/reduced,0,38,43,43
385,female,group E,some college,standard,0,67,76,75
386,female,group E,bachelor's degree,standard,0,64,73,70
387,female,group C,associate's degree,free/reduced,0,57,78,67
388,female,group D,high school,standard,0,62,64,64
389,male,group D,master's degree,standard,0,73,70,75
390,male,group E,some high school,free/reduced,1,73,67,59
391,female,group D,some college,standard,0,77,68,77
392,male,group E,some college,standard,0,76,67,67
393,male,group C,associate's degree,standard,1,57,54,56
394,female,group C,some high school,standard,1,65,74,77
395,male,group A,high school,free/reduced,0,48,45,41
396,female,group B,high school,free/reduced,0,50,67,63
397,female,group C,associate's degree,standard,0,85,89,95
398,male,group B,some high school,standard,0,74,63,57
399,male,group D,some high school,standard,0,60,59,54
400,female,group C,some high school,standard,1,59,54,67
401,male,group A,some college,standard,0,53,43,43
402,female,group A,some college,free/reduced,0,49,65,55
403,female,group D,high school,standard,1,88,99,100
404,female,group C,high school,standard,0,54,59,62
405,female,group C,some high school,standard,0,63,73,68
406,male,group B,associate's degree,standard,1,65,65,63
407,female,group B,associate's degree,standard,0,82,80,77
408,female,group D,high school,free/reduced,1,52,57,56
409,male,group D,associate's degree,standard,1,87,84,85
410,female,group D,master's degree,standard,1,70,71,74
411,male,group E,some college,standard,1,84,83,78
412,male,group D,associate's degree,standard,0,71,66,60
413,male,group B,some high school,standard,1,63,67,67
414,female,group C,bachelor's degree,free/reduced,1,51,72,79
415,male,group E,high school,standard,0,84,73,69
416,male,group C,bachelor's degree,standard,1,71,74,68
417,male,group C,associate's degree,standard,0,74,73,67
418,male,group D,some college,standard,0,68,59,62
419,male,group E,high school,free/reduced,1,57,56,54
420,female,group C,associate's degree,free/reduced,1,82,93,93
421,female,group D,high school,standard,1,57,58,64
422,female,group D,master's degree,free/reduced,1,47,58,67
423,female,group A,some high school,standard,1,59,85,80
424,male,group B,some college,free/reduced,0,41,39,34
425,female,group C,some college,free/reduced,0,62,67,62
426,male,group C,bachelor's degree,standard,0,86,83,86
427,male,group C,some high school,free/reduced,0,69,71,65
428,male,group A,some high school,free/reduced,0,65,59,53
429,male,group C,some high school,free/reduced,0,68,63,54
430,male,group C,associate's degree,free/reduced,0,64,66,59
431,female,group C,high school,standard,0,61,72,70
432,male,group C,high school,standard,0,61,56,55
433,female,group A,some high school,free/reduced,0,47,59,50
434,male,group C,some high school,standard,0,73,66,66
435,male,group C,some college,free/reduced,1,50,48,53
436,male,group D,associate's degree,standard,0,75,68,64
437,male,group D,associate's degree,free/reduced,0,75,66,73
438,male,group C,high school,standard,0,70,56,51
439,male,group D,some high school,standard,1,89,88,82
440,female,group C,some college,standard,1,67,81,79
441,female,group D,high school,standard,0,78,81,80
442,female,group A,some high school,free/reduced,0,59,73,69
443,female,group B,associate's degree,standard,0,73,83,76
444,male,group A,some high school,free/reduced,0,79,82,73
445,female,group C,some high school,standard,1,67,74,77
446,male,group D,some college,free/reduced,0,69,66,60
447,male,group C,high school,standard,1,86,81,80
448,male,group B,high school,standard,0,47,46,42
449,male,group B,associate's degree,standard,0,81,73,72
450,female,group C,some college,free/reduced,1,64,85,85
451,female,group E,some college,standard,0,100,92,97
452,female,group C,associate's degree,free/reduced,0,65,77,74
453,male,group C,some college,free/reduced,0,65,58,49
454,female,group C,associate's degree,free/reduced,0,53,61,62
455,male,group C,bachelor's degree,free/reduced,0,37,56,47
456,female,group D,bachelor's degree,standard,0,79,89,89
457,male,group D,associate's degree,free/reduced,0,53,54,48
458,female,group E,bachelor's degree,standard,0,100,100,100
459,male,group B,high school,standard,1,72,65,68
460,male,group C,bachelor's degree,free/reduced,0,53,58,55
461,male,group B,some college,free/reduced,0,54,54,45
462,female,group E,some college,standard,0,71,70,76
463,female,group C,some college,free/reduced,0,77,90,91
464,male,group A,bachelor's degree,standard,1,75,58,62
465,female,group C,some college,standard,0,84,87,91
466,female,group D,associate's degree,free/reduced,0,26,31,38
467,male,group A,high school,free/reduced,1,72,67,65
468,female,group A,high school,free/reduced,1,77,88,85
469,male,group C,some college,standard,0,91,74,76
470,female,group C,associate's degree,standard,1,83,85,90
471,female,group C,high school,standard,0,63,69,74
472,female,group C,associate's degree,standard,1,68,86,84
473,female,group D,some high school,standard,0,59,67,61
474,female,group B,associate's degree,standard,1,90,90,91
475,female,group D,bachelor's degree,standard,1,71,76,83
476,male,group E,bachelor's degree,standard,1,76,62,66
477,male,group D,associate's degree,standard,0,80,68,72
478,female,group D,master's degree,standard,0,55,64,70
479,male,group E,associate's degree,standard,0,76,71,67
480,male,group B,high school,standard,1,73,71,68
481,female,group D,associate's degree,free/reduced,0,52,59,56
482,male,group C,some college,free/reduced,0,68,68,61
483,male,group A,high school,standard,0,59,52,46
484,female,group B,associate's degree,standard,0,49,52,54
485,male,group C,high school,standard,0,70,74,71
486,male,group D,some college,free/reduced,0,61,47,56
487,female,group C,associate's degree,free/reduced,0,60,75,74
488,male,group B,some high school,standard,1,64,53,57
489,male,group A,associate's degree,free/reduced,1,79,82,82
490,female,group A,associate's degree,free/reduced,0,65,85,76
491,female,group C,associate's degree,standard,0,64,64,70
492,female,group C,some college,standard,0,83,83,90
493,female,group C,bachelor's degree,standard,0,81,88,90
494,female,group B,high school,standard,0,54,64,68
495,male,group D,high school,standard,1,68,64,66
496,female,group C,some college,standard,0,54,48,52
497,female,group D,some college,free/reduced,1,59,78,76
498,female,group B,some high school,standard,0,66,69,68
499,male,group E,some college,standard,0,76,71,72
500,female,group D,master's degree,standard,0,74,79,82
501,female,group B,associate's degree,standard,1,94,87,92
502,male,group C,some college,free/reduced,0,63,61,54
503,female,group E,associate's degree,standard,1,95,89,92
504,female,group D,master's degree,free/reduced,0,40,59,54
505,female,group B,some high school,standard,0,82,82,80
506,male,group A,high school,standard,0,68,70,66
507,male,group B,bachelor's degree,free/reduced,0,55,59,54
508,male,group C,master's degree,standard,0,79,78,77
509,female,group C,bachelor's degree,standard,0,86,92,87
510,male,group D,some college,standard,0,76,71,73
511,male,group A,some high school,standard,0,64,50,43
512,male,group D,some high school,free/reduced,0,62,49,52
513,female,group B,some high school,standard,1,54,61,62
514,female,group B,master's degree,free/reduced,1,77,97,94
515,female,group C,some high school,standard,1,76,87,85
516,female,group D,some college,standard,0,74,89,84
517,female,group E,some college,standard,1,66,74,73
518,female,group D,some high school,standard,1,66,78,78
519,female,group B,high school,free/reduced,1,67,78,79
520,male,group D,some college,standard,0,71,49,52
521,female,group C,associate's degree,standard,0,91,86,84
522,male,group D,bachelor's degree,standard,0,69,58,57
523,male,group C,master's degree,free/reduced,0,54,59,50
524,male,group C,high school,standard,1,53,52,49
525,male,group E,some college,standard,0,68,60,59
526,male,group C,some high school,free/reduced,1,56,61,60
527,female,group C,high school,free/reduced,0,36,53,43
528,female,group D,bachelor's degree,free/reduced,0,29,41,47
529,female,group C,associate's degree,standard,0,62,74,70
530,female,group C,associate's degree,standard,1,68,67,73
531,female,group C,some high school,standard,0,47,54,53
532,male,group E,associate's degree,standard,1,62,61,58
533,female,group E,associate's degree,standard,1,79,88,94
534,male,group B,high school,standard,1,73,69,68
535,female,group C,bachelor's degree,free/reduced,1,66,83,83
536,male,group C,associate's degree,standard,1,51,60,58
537,female,group D,high school,standard,0,51,66,62
538,male,group E,bachelor's degree,standard,1,85,66,71
539,male,group A,associate's degree,standard,1,97,92,86
540,male,group C,high school,standard,1,75,69,68
541,male,group D,associate's degree,free/reduced,1,79,82,80
542,female,group C,associate's degree,standard,0,81,77,79
543,female,group D,associate's degree,standard,0,82,95,89
544,female,group D,master's degree,standard,0,64,63,66
545,male,group E,some high school,free/reduced,1,78,83,80
546,female,group A,some high school,standard,1,92,100,97
547,male,group C,high school,standard,1,72,67,64
548,female,group C,high school,free/reduced,0,62,67,64
549,male,group C,master's degree,standard,0,79,72,69
550,male,group C,some high school,free/reduced,0,79,76,65
551,male,group B,bachelor's degree,free/reduced,1,87,90,88
552,female,group B,associate's degree,standard,0,40,48,50
553,male,group D,some college,free/reduced,0,77,62,64
554,male,group E,associate's degree,standard,0,53,45,40
555,female,group C,some college,free/reduced,0,32,39,33
556,female,group C,associate's degree,standard,1,55,72,79
557,male,group C,master's degree,free/reduced,0,61,67,66
558,female,group B,associate's degree,free/reduced,0,53,70,70
559,male,group D,some high school,standard,0,73,66,62
560,female,group D,some college,standard,1,74,75,79
561,female,group C,some college,standard,0,63,74,74
562,male,group C,bachelor's degree,standard,1,96,90,92
563,female,group D,some college,free/reduced,1,63,80,80
564,male,group B,bachelor's degree,free/reduced,0,48,51,46
565,male,group B,associate's degree,standard,0,48,43,45
566,female,group E,bachelor's degree,free/reduced,1,92,100,100
567,female,group D,master's degree,free/reduced,1,61,71,78
568,male,group B,high school,free/reduced,0,63,48,47
569,male,group D,bachelor's degree,free/reduced,0,68,68,67
570,male,group B,some college,standard,1,71,75,70
571,male,group A,bachelor's degree,standard,0,91,96,92
572,female,group C,some college,standard,0,53,62,56
573,female,group C,high school,free/reduced,1,50,66,64
574,female,group E,high school,standard,0,74,81,71
575,male,group A,associate's degree,free/reduced,1,40,55,53
576,male,group A,some college,standard,1,61,51,52
577,female,group B,high school,standard,0,81,91,89
578,female,group B,some college,free/reduced,1,48,56,58
579,female,group D,master's degree,standard,0,53,61,68
580,female,group D,some high school,standard,0,81,97,96
581,female,group E,some high school,standard,0,77,79,80
582,female,group D,bachelor's degree,free/reduced,0,63,73,78
583,female,group D,associate's degree,standard,1,73,75,80
584,female,group D,some college,standard,0,69,77,77
585,female,group C,associate's degree,standard,0,65,76,76
586,female,group A,high school,standard,0,55,73,73
587,female,group C,bachelor's degree,free/reduced,0,44,63,62
